audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD001,TRIP001,2024-02-06 06:45:00,0,52,quiet,0
AUD002,TRIP001,2024-02-06 06:46:00,60,55,normal,0
AUD003,TRIP001,2024-02-06 06:50:00,300,58,normal,0
AUD004,TRIP001,2024-02-06 06:55:00,600,54,quiet,0
AUD005,TRIP001,2024-02-06 07:00:00,900,56,normal,0
AUD006,TRIP001,2024-02-06 07:02:00,1020,59,normal,0
AUD007,TRIP002,2024-02-06 07:15:00,0,51,quiet,0
AUD008,TRIP002,2024-02-06 07:16:00,60,62,normal,0
AUD009,TRIP002,2024-02-06 07:18:00,180,68,conversation,0
AUD010,TRIP002,2024-02-06 07:20:00,300,72,loud,0
AUD011,TRIP002,2024-02-06 07:22:00,420,88,argument,30
AUD012,TRIP002,2024-02-06 07:22:30,450,92,argument,60
AUD013,TRIP002,2024-02-06 07:23:00,480,95,argument,90
AUD014,TRIP002,2024-02-06 07:23:30,510,94,argument,120
AUD015,TRIP002,2024-02-06 07:24:00,540,89,argument,150
AUD016,TRIP002,2024-02-06 07:24:30,570,82,very_loud,0
AUD017,TRIP002,2024-02-06 07:25:00,600,75,loud,0
AUD018,TRIP002,2024-02-06 07:26:00,660,68,conversation,0
AUD019,TRIP002,2024-02-06 07:30:00,900,61,normal,0
AUD020,TRIP002,2024-02-06 07:35:00,1200,58,normal,0
AUD021,TRIP003,2024-02-06 07:52:00,0,53,quiet,0
AUD022,TRIP003,2024-02-06 07:55:00,180,57,normal,0
AUD023,TRIP003,2024-02-06 08:00:00,480,59,normal,0
AUD024,TRIP003,2024-02-06 08:05:00,780,61,normal,0
AUD025,TRIP003,2024-02-06 08:10:00,1080,58,normal,0
AUD026,TRIP003,2024-02-06 08:14:00,1320,56,normal,0
AUD027,TRIP008,2024-02-06 17:30:00,0,54,quiet,0
AUD028,TRIP008,2024-02-06 17:35:00,300,64,normal,0
AUD029,TRIP008,2024-02-06 17:40:00,600,66,conversation,0
AUD030,TRIP008,2024-02-06 17:45:00,900,62,normal,0
AUD031,TRIP008,2024-02-06 17:50:00,1200,59,normal,0
AUD032,TRIP008,2024-02-06 17:55:00,1500,57,normal,0
AUD033,TRIP010,2024-02-06 19:05:00,0,52,quiet,0
AUD034,TRIP010,2024-02-06 19:08:00,180,65,conversation,0
AUD035,TRIP010,2024-02-06 19:12:00,420,70,conversation,0
AUD036,TRIP010,2024-02-06 19:16:00,660,74,loud,0
AUD037,TRIP010,2024-02-06 19:20:00,900,78,loud,0
AUD038,TRIP010,2024-02-06 19:22:00,1020,86,very_loud,30
AUD039,TRIP010,2024-02-06 19:22:30,1050,91,argument,60
AUD040,TRIP010,2024-02-06 19:23:00,1080,94,argument,90
AUD041,TRIP010,2024-02-06 19:23:30,1110,96,argument,120
AUD042,TRIP010,2024-02-06 19:24:00,1140,93,argument,150
AUD043,TRIP010,2024-02-06 19:24:30,1170,87,very_loud,180
AUD044,TRIP010,2024-02-06 19:25:00,1200,81,very_loud,0
AUD045,TRIP010,2024-02-06 19:26:00,1260,73,loud,0
AUD046,TRIP010,2024-02-06 19:28:00,1380,66,conversation,0
AUD047,TRIP010,2024-02-06 19:32:00,1620,58,normal,0
AUD048,TRIP012,2024-02-06 06:29:25,1765,53,quiet,84
AUD049,TRIP009,2024-02-06 06:04:14,254,73,loud,0
AUD050,TRIP029,2024-02-06 06:13:39,819,68,conversation,0
AUD051,TRIP029,2024-02-06 06:13:11,791,68,conversation,0
AUD052,TRIP016,2024-02-06 06:23:37,1417,68,conversation,0
AUD053,TRIP030,2024-02-06 06:27:12,1632,68,conversation,0
AUD054,TRIP026,2024-02-06 06:02:49,169,68,conversation,0
AUD055,TRIP003,2024-02-06 06:14:41,881,88,argument,0
AUD056,TRIP018,2024-02-06 06:10:01,601,70,conversation,0
AUD057,TRIP003,2024-02-06 06:11:11,671,92,argument,0
AUD058,TRIP010,2024-02-06 06:15:13,913,88,argument,109
AUD059,TRIP006,2024-02-06 06:23:32,1412,78,loud,0
AUD060,TRIP015,2024-02-06 06:01:26,86,96,argument,0
AUD061,TRIP020,2024-02-06 06:14:50,890,67,conversation,0
AUD062,TRIP003,2024-02-06 06:22:54,1374,90,argument,0
AUD063,TRIP012,2024-02-06 06:17:30,1050,97,argument,40
AUD064,TRIP001,2024-02-06 06:04:52,292,88,argument,112
AUD065,TRIP002,2024-02-06 06:04:18,258,54,quiet,0
AUD066,TRIP025,2024-02-06 06:22:01,1321,73,loud,0
AUD067,TRIP013,2024-02-06 06:19:21,1161,52,quiet,0
AUD068,TRIP022,2024-02-06 06:15:21,921,73,loud,0
AUD069,TRIP015,2024-02-06 06:26:02,1562,54,quiet,35
AUD070,TRIP017,2024-02-06 06:12:31,751,75,loud,0
AUD071,TRIP021,2024-02-06 06:09:30,570,65,conversation,0
AUD072,TRIP001,2024-02-06 06:25:06,1506,61,normal,0
AUD073,TRIP017,2024-02-06 06:13:12,792,85,very_loud,0
AUD074,TRIP009,2024-02-06 06:26:27,1587,66,conversation,114
AUD075,TRIP007,2024-02-06 06:20:53,1253,68,conversation,125
AUD076,TRIP007,2024-02-06 06:04:11,251,58,normal,0
AUD077,TRIP015,2024-02-06 06:05:53,353,95,argument,0
AUD078,TRIP003,2024-02-06 06:27:39,1659,93,argument,0
AUD079,TRIP022,2024-02-06 06:11:51,711,95,argument,0
AUD080,TRIP018,2024-02-06 06:18:30,1110,68,conversation,0
